"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.231137417E0,-1.169952478E-2,-2.043624163E-1,-2.904604375E-2,2.067475483E-1
1.241165417E0,1.420711417E-1,4.469773905E-1,-1.798545063E-1,5.023152798E-1
1.251192417E0,-3.246870047E-1,2.114525307E-1,-2.478418368E-1,4.599558673E-1
1.261219417E0,-3.963113491E-2,2.529442999E-1,3.147439241E-2,2.579575219E-1
1.271247417E0,1.412974181E-1,-1.266745184E-1,-3.191995025E-3,1.897935268E-1
1.281274417E0,6.092817896E-2,-5.590070822E-1,-2.420642030E-1,6.122060432E-1
1.291301417E0,-3.054155504E-1,-7.126071882E-1,2.940623224E-1,8.291925666E-1
1.301329417E0,5.823793168E-1,-5.481729225E-1,-1.668953222E-1,8.170148531E-1
1.311356417E0,-1.687886141E-1,-2.829207819E-1,1.554634309E-1,3.642837402E-1
1.321383417E0,3.138687421E-1,-5.020126998E-3,-2.227993816E-1,3.849394153E-1
1.331411417E0,-7.894837484E-2,2.452018189E-1,-5.275182545E-2,2.629439731E-1
1.341438417E0,-5.735986079E-2,4.690807427E-1,-1.648675078E-1,5.005079340E-1
1.351465417E0,5.318923373E-2,5.327428148E-1,-1.783517718E-1,5.643167159E-1
1.361492417E0,-2.829270493E-1,1.444356918E-1,-1.345175350E-1,3.449700734E-1
1.371520417E0,1.511027419E-1,-1.366566292E-1,3.939912379E-2,2.075075032E-1
1.381547417E0,-1.079668819E-1,-3.532464870E-1,-1.857397288E-1,4.134479109E-1
1.391575417E0,-2.207881222E-1,-4.780595809E-1,7.205114543E-2,5.314882175E-1
1.401602417E0,3.260662533E-1,-1.728652928E-1,-1.967699164E-1,4.182343972E-1
1.411629417E0,-1.998925123E-1,-1.611480208E-1,4.368162453E-2,2.604491993E-1
1.421656417E0,1.134107310E-1,-7.909375124E-2,-1.145908087E-1,1.795797005E-1
1.431684417E0,1.991269062E-2,5.512900732E-1,-1.443560600E-2,5.518384245E-1
1.441711417E0,1.597930017E-1,7.779091119E-1,-9.306954682E-2,7.995863495E-1
1.451738417E0,-2.764971952E-1,2.218413519E-1,7.065132201E-2,3.614635440E-1
1.461766417E0,2.968504621E-2,3.847250091E-1,-1.897743076E-1,4.300102585E-1
1.471793417E0,1.320287042E-1,-2.685907546E-2,-1.135155058E-1,1.761782016E-1
1.481820417E0,9.952887459E-2,-4.103268601E-1,-2.550555468E-3,4.222329148E-1
1.491848417E0,8.936878008E-2,-3.545790309E-1,3.529730201E-2,3.673676191E-1
1.501875417E0,8.715887060E-3,-1.678848904E-1,-1.183476448E-2,1.685270446E-1
1.511902417E0,-2.073062518E-1,-1.818178551E-1,-1.676268089E-1,3.226954625E-1
1.521930417E0,2.604404304E-1,-1.259342171E0,-3.822611386E-1,1.341601841E0
1.531957417E0,4.149941441E-1,-3.027011450E-1,3.658830875E-1,6.306493135E-1
1.541984417E0,2.848339177E-1,-5.206767564E-1,-1.523199677E-1,6.127283394E-1
1.552012417E0,-3.602882523E-1,-4.418443757E-1,-3.163869917E-2,5.709948199E-1
1.562039417E0,-6.747501853E-2,-1.360430004E-1,-2.656156182E-2,1.541625527E-1
1.572066417E0,9.509725157E-2,2.021570658E-1,-3.165086138E-1,3.874127891E-1
1.582094417E0,-2.908126957E-1,1.053042243E-1,1.222202557E-1,3.325639706E-1
1.592121417E0,1.546924755E-1,2.649113942E-2,3.733973444E-2,1.613251320E-1
1.602148417E0,4.552446591E-2,2.101993628E-2,-2.388382941E-1,2.440451710E-1
1.612176417E0,-2.673229869E-1,1.121462341E-1,2.318421006E-3,2.899029704E-1
1.622203417E0,1.572059011E-1,2.844813306E-1,-1.199696624E-1,3.464621808E-1
1.632230417E0,1.709917719E-1,1.442302353E-1,-3.449915707E-2,2.263420832E-1
1.642258417E0,5.864279015E-2,-3.513445705E-2,-8.659960270E-2,1.103308574E-1
1.652285417E0,-1.270769531E-1,-6.179955114E-2,-1.108222783E-1,1.795809396E-1
1.662312417E0,-1.147020520E-1,-1.207538837E-1,-3.059204757E-2,1.693337962E-1
1.672340417E0,-1.507735345E-1,8.017998118E-2,-1.201602817E-2,1.711895821E-1
1.682367417E0,5.364410599E-2,3.609737653E-1,-1.777021462E-1,4.059036857E-1
1.692394417E0,-1.213206342E-1,4.753096719E-1,-3.682167113E-2,4.919286696E-1
1.702422417E0,-3.741230569E-1,5.039570818E-1,-1.225588095E-1,6.395009490E-1
1.712449417E0,6.503550535E-2,3.197857589E-1,-1.623672384E-1,3.644937155E-1
1.722476417E0,4.213119145E-1,8.033518821E-2,8.431334138E-2,4.371112116E-1
1.732504417E0,8.536834354E-2,-2.071660831E-1,-1.257040268E-1,2.569183575E-1
1.742531417E0,-1.469732920E-1,-4.034611691E-1,-1.330183089E-2,4.296033080E-1
1.752558417E0,-2.909569484E-2,-4.048786803E-1,-3.081014872E-2,4.070903714E-1
1.762586417E0,9.093295595E-2,-2.233748573E-1,-1.026554722E-1,2.621130964E-1
1.772613417E0,9.305761484E-2,-3.935600057E-2,-9.053419411E-2,1.356652305E-1
1.782640417E0,-1.202779112E-2,1.134969774E-1,-3.572648764E-2,1.195935348E-1
1.792668417E0,-7.307100948E-3,9.959083680E-2,-1.209017086E-1,1.568086466E-1
1.802695417E0,-4.068806939E-2,2.019372471E-2,-6.984499097E-2,8.331643458E-2
1.812722417E0,-1.172750553E-1,-1.104730533E-1,-6.459769964E-2,1.735816722E-1
1.822750417E0,2.919903067E-2,-1.676633174E-1,-6.161035717E-2,1.809956008E-1
1.832777417E0,1.381152811E-1,-4.363755114E-2,-9.275847495E-2,1.720005855E-1
1.842804417E0,1.649197673E-1,1.845520131E-2,-5.626775622E-2,1.752289488E-1
1.852832417E0,-2.095254712E-1,2.041974517E-1,-4.069954455E-2,2.953878388E-1
1.862859417E0,-3.018712789E-1,3.181377943E-1,-1.237516415E-1,4.556889223E-1
1.872886417E0,-6.234913002E-2,2.605747702E-1,-1.282411337E-1,2.970394136E-1
1.882914417E0,5.304414055E-2,3.831377093E-2,-2.404024243E-2,6.971053827E-2
1.892941417E0,7.627071095E-2,-4.337775204E-2,-1.624882758E-2,8.923494337E-2
1.902968417E0,-1.691695419E-3,-2.817691362E-1,-1.207338935E-1,3.065507804E-1
1.912996417E0,2.594954107E-1,-5.983681991E-1,5.247583687E-2,6.543210858E-1
1.923023417E0,2.175321367E-1,-5.345820199E-1,-1.694148874E-1,6.014977727E-1
1.933050417E0,-2.365650794E-1,-3.569719309E-1,7.025605023E-2,4.339676357E-1
1.943078417E0,-8.728337975E-2,-4.775198098E-2,-1.424475288E-1,1.737525210E-1
1.953105417E0,1.117466682E-1,9.724350862E-2,-4.948966384E-2,1.561820881E-1
1.963132417E0,-1.211960885E-1,2.199271196E-1,-1.226821858E-1,2.794769195E-1
1.973160417E0,-9.245284829E-2,1.928203415E-1,-5.276001155E-2,2.202517470E-1
1.983187417E0,1.921389582E-1,1.409355851E-1,-1.002002263E-1,2.584962354E-1
1.993214417E0,1.125713723E-2,-1.019402480E-1,-1.494372904E-1,1.812458029E-1
2.003242417E0,-1.585168834E-1,-5.521715775E-2,-7.578283846E-2,1.841726784E-1
2.013269417E0,1.716123807E-1,3.402502097E-2,-5.422356963E-2,1.831630606E-1
2.023296417E0,6.918898819E-2,-3.746318378E-2,-1.831347942E-3,7.870171574E-2
2.033324417E0,-1.907282991E-1,-3.151327640E-2,-9.298827052E-2,2.145161745E-1
2.043351417E0,7.177794799E-2,-8.040166374E-2,-1.991970956E-2,1.096051832E-1
2.053378417E0,-6.699200654E-3,-1.102684008E-1,-2.724100828E-2,1.137808069E-1
2.063406417E0,1.006283887E-1,-7.749545138E-2,-1.559709692E-1,2.011431352E-1
2.073433417E0,1.799134809E-2,1.334908370E-2,9.521372080E-2,9.781379898E-2
2.083460417E0,7.693713365E-2,1.501828470E-1,-2.165972400E-1,2.745697988E-1
2.093488417E0,-1.882279201E-1,1.410203697E-1,7.770774186E-2,2.476993898E-1
2.103515417E0,1.123764865E-1,8.607349947E-2,-1.498267150E-1,2.061193017E-1
2.113542417E0,-1.380994753E-1,-1.069396540E-1,2.517928004E-2,1.764696881E-1
2.123570417E0,1.359648396E-1,-1.910049272E-1,-1.513083994E-1,2.790404121E-1
2.133597417E0,-6.212099725E-2,-2.043799945E-1,-1.815344113E-1,2.803300607E-1
2.143624417E0,-2.385911122E-2,-5.607958551E-2,-1.198603195E-1,1.344643941E-1
2.153652417E0,2.283104372E-1,9.624319620E-2,-6.957426488E-2,2.573499308E-1
2.163679833E0,-2.354908363E-1,1.171478692E-2,-2.824497521E-2,2.374677848E-1
2.173706833E0,1.051018558E-1,-7.084523030E-2,1.144241631E-2,1.272649820E-1
2.183734833E0,1.118475875E-1,-1.611688881E-1,1.848480284E-2,1.970456324E-1
2.193761833E0,-1.428292972E-2,-3.579710738E-1,-1.436228192E-1,3.859725456E-1
2.203788833E0,-7.157149559E-2,-3.310658785E-1,5.293601274E-2,3.428254896E-1
2.213815833E0,1.771763719E-1,-1.369186941E-1,-1.605312127E-1,2.755149103E-1
2.223843833E0,-9.935005029E-2,2.245787624E-2,-4.348515809E-2,1.107508360E-1
2.233870833E0,-1.434583480E-1,3.089299280E-1,8.420926094E-2,3.508692030E-1
2.243897833E0,5.861472809E-3,7.622284144E-2,-1.683167803E-1,1.848643204E-1
2.253925833E0,7.982141438E-3,3.230889972E-2,8.975534499E-2,9.572670232E-2
2.263952833E0,7.112524797E-2,1.600771033E-1,-2.792326140E-1,3.296275666E-1
2.273979833E0,-2.010521979E-1,3.909817491E-2,-2.334243572E-1,3.105440131E-1
2.284007833E0,1.901158946E-1,1.382403841E-1,-1.520065570E-1,2.799293671E-1
2.294034833E0,-5.333467865E-2,6.989673883E-2,-7.372461855E-2,1.147408446E-1
2.304061833E0,2.386088366E-2,6.205938678E-2,-4.767819643E-2,8.181637777E-2
2.314089833E0,5.074041068E-2,5.665933695E-2,-9.138964176E-2,1.188988493E-1
2.324116833E0,-2.598193282E-1,2.123935305E-2,-9.707605898E-2,2.781743242E-1
2.334143833E0,6.973496282E-2,7.424677491E-2,2.993137068E-1,3.161712252E-1
2.344171833E0,1.114594603E-1,-2.093677791E-1,2.404667437E-2,2.384036928E-1
